start time, end time
21:35:17.120085, 21:35:27.023538
raw data in hex, acceleration in dec, acceleration in g
103e,332.64,0.32
103b,332.40,0.08
103c,332.48,0.16
103a,332.32,0.00
1039,332.24,-0.08
103b,332.40,0.08
103c,332.48,0.16
1037,332.08,-0.24
1039,332.24,-0.08
1036,332.00,-0.32
1037,332.08,-0.24
103b,332.40,0.08
103c,332.48,0.16
103a,332.32,0.00
1038,332.16,-0.16
1038,332.16,-0.16
103a,332.32,0.00
103c,332.48,0.16
1038,332.16,-0.16
1038,332.16,-0.16
1038,332.16,-0.16
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1038,332.16,-0.16
103b,332.40,0.08
1039,332.24,-0.08
1035,331.92,-0.40
1038,332.16,-0.16
1039,332.24,-0.08
1038,332.16,-0.16
1038,332.16,-0.16
103b,332.40,0.08
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
103c,332.48,0.16
1037,332.08,-0.24
103d,332.56,0.24
1038,332.16,-0.16
103b,332.40,0.08
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1037,332.08,-0.24
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
103b,332.40,0.08
103a,332.32,0.00
1038,332.16,-0.16
103a,332.32,0.00
1038,332.16,-0.16
103a,332.32,0.00
103c,332.48,0.16
103a,332.32,0.00
1037,332.08,-0.24
103c,332.48,0.16
103a,332.32,0.00
1036,332.00,-0.32
103b,332.40,0.08
1036,332.00,-0.32
103b,332.40,0.08
103c,332.48,0.16
103c,332.48,0.16
1039,332.24,-0.08
103e,332.64,0.32
1039,332.24,-0.08
1039,332.24,-0.08
103b,332.40,0.08
103a,332.32,0.00
103a,332.32,0.00
1037,332.08,-0.24
103c,332.48,0.16
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1035,331.92,-0.40
1038,332.16,-0.16
103c,332.48,0.16
103d,332.56,0.24
1039,332.24,-0.08
103a,332.32,0.00
103a,332.32,0.00
1039,332.24,-0.08
103a,332.32,0.00
1037,332.08,-0.24
103a,332.32,0.00
1038,332.16,-0.16
1037,332.08,-0.24
1038,332.16,-0.16
103b,332.40,0.08
103b,332.40,0.08
1038,332.16,-0.16
1037,332.08,-0.24
103b,332.40,0.08
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
103b,332.40,0.08
1037,332.08,-0.24
1036,332.00,-0.32
1037,332.08,-0.24
103a,332.32,0.00
103c,332.48,0.16
103a,332.32,0.00
1038,332.16,-0.16
1039,332.24,-0.08
103a,332.32,0.00
1039,332.24,-0.08
1038,332.16,-0.16
1038,332.16,-0.16
103c,332.48,0.16
1039,332.24,-0.08
103d,332.56,0.24
1038,332.16,-0.16
103b,332.40,0.08
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
103b,332.40,0.08
1037,332.08,-0.24
103a,332.32,0.00
1038,332.16,-0.16
103c,332.48,0.16
103a,332.32,0.00
103a,332.32,0.00
1037,332.08,-0.24
1039,332.24,-0.08
103a,332.32,0.00
1036,332.00,-0.32
1038,332.16,-0.16
1039,332.24,-0.08
1037,332.08,-0.24
103a,332.32,0.00
103a,332.32,0.00
103b,332.40,0.08
103a,332.32,0.00
103b,332.40,0.08
103a,332.32,0.00
1037,332.08,-0.24
103a,332.32,0.00
1037,332.08,-0.24
103a,332.32,0.00
103b,332.40,0.08
1037,332.08,-0.24
1039,332.24,-0.08
103c,332.48,0.16
103e,332.64,0.32
1037,332.08,-0.24
103a,332.32,0.00
103a,332.32,0.00
1037,332.08,-0.24
103a,332.32,0.00
1038,332.16,-0.16
1035,331.92,-0.40
1039,332.24,-0.08
103b,332.40,0.08
1037,332.08,-0.24
103a,332.32,0.00
103b,332.40,0.08
1037,332.08,-0.24
1034,331.84,-0.48
1038,332.16,-0.16
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
1036,332.00,-0.32
1037,332.08,-0.24
1038,332.16,-0.16
1038,332.16,-0.16
1038,332.16,-0.16
1036,332.00,-0.32
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
103c,332.48,0.16
1039,332.24,-0.08
103b,332.40,0.08
1038,332.16,-0.16
1036,332.00,-0.32
103a,332.32,0.00
103d,332.56,0.24
1039,332.24,-0.08
103a,332.32,0.00
1035,331.92,-0.40
1037,332.08,-0.24
103a,332.32,0.00
1037,332.08,-0.24
103e,332.64,0.32
1035,331.92,-0.40
103a,332.32,0.00
1037,332.08,-0.24
1039,332.24,-0.08
103c,332.48,0.16
1035,331.92,-0.40
103b,332.40,0.08
1037,332.08,-0.24
1037,332.08,-0.24
1037,332.08,-0.24
103b,332.40,0.08
1035,331.92,-0.40
1038,332.16,-0.16
1038,332.16,-0.16
1036,332.00,-0.32
1038,332.16,-0.16
1038,332.16,-0.16
103b,332.40,0.08
1038,332.16,-0.16
103b,332.40,0.08
103b,332.40,0.08
103a,332.32,0.00
1039,332.24,-0.08
1033,331.76,-0.56
1037,332.08,-0.24
103a,332.32,0.00
1037,332.08,-0.24
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
1038,332.16,-0.16
1035,331.92,-0.40
1039,332.24,-0.08
103b,332.40,0.08
1036,332.00,-0.32
1039,332.24,-0.08
1038,332.16,-0.16
1038,332.16,-0.16
103a,332.32,0.00
1039,332.24,-0.08
103a,332.32,0.00
103c,332.48,0.16
103c,332.48,0.16
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
1038,332.16,-0.16
1037,332.08,-0.24
1035,331.92,-0.40
103a,332.32,0.00
1037,332.08,-0.24
1036,332.00,-0.32
103a,332.32,0.00
1038,332.16,-0.16
1039,332.24,-0.08
103b,332.40,0.08
103a,332.32,0.00
1034,331.84,-0.48
1038,332.16,-0.16
1039,332.24,-0.08
1036,332.00,-0.32
1039,332.24,-0.08
1035,331.92,-0.40
103c,332.48,0.16
103b,332.40,0.08
1038,332.16,-0.16
1038,332.16,-0.16
1037,332.08,-0.24
103b,332.40,0.08
103b,332.40,0.08
103d,332.56,0.24
103b,332.40,0.08
103a,332.32,0.00
1038,332.16,-0.16
103b,332.40,0.08
1039,332.24,-0.08
1039,332.24,-0.08
1034,331.84,-0.48
1039,332.24,-0.08
1037,332.08,-0.24
103b,332.40,0.08
1037,332.08,-0.24
103a,332.32,0.00
1036,332.00,-0.32
103b,332.40,0.08
1035,331.92,-0.40
103c,332.48,0.16
1036,332.00,-0.32
103c,332.48,0.16
1037,332.08,-0.24
103a,332.32,0.00
1036,332.00,-0.32
1039,332.24,-0.08
1036,332.00,-0.32
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
1039,332.24,-0.08
1039,332.24,-0.08
1036,332.00,-0.32
103d,332.56,0.24
1036,332.00,-0.32
1037,332.08,-0.24
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1037,332.08,-0.24
103a,332.32,0.00
1036,332.00,-0.32
103b,332.40,0.08
1038,332.16,-0.16
103c,332.48,0.16
103a,332.32,0.00
1034,331.84,-0.48
103a,332.32,0.00
1039,332.24,-0.08
1036,332.00,-0.32
103b,332.40,0.08
1039,332.24,-0.08
1037,332.08,-0.24
1037,332.08,-0.24
1035,331.92,-0.40
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
103b,332.40,0.08
1038,332.16,-0.16
1039,332.24,-0.08
1037,332.08,-0.24
1038,332.16,-0.16
1036,332.00,-0.32
103b,332.40,0.08
1037,332.08,-0.24
1038,332.16,-0.16
1037,332.08,-0.24
103a,332.32,0.00
1039,332.24,-0.08
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1039,332.24,-0.08
1039,332.24,-0.08
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1035,331.92,-0.40
1037,332.08,-0.24
1035,331.92,-0.40
1036,332.00,-0.32
1038,332.16,-0.16
1034,331.84,-0.48
1039,332.24,-0.08
1036,332.00,-0.32
1033,331.76,-0.56
103b,332.40,0.08
1039,332.24,-0.08
103c,332.48,0.16
103b,332.40,0.08
1036,332.00,-0.32
1037,332.08,-0.24
1038,332.16,-0.16
103d,332.56,0.24
1036,332.00,-0.32
1038,332.16,-0.16
103d,332.56,0.24
1038,332.16,-0.16
103a,332.32,0.00
1038,332.16,-0.16
1038,332.16,-0.16
103b,332.40,0.08
103b,332.40,0.08
1034,331.84,-0.48
1037,332.08,-0.24
1036,332.00,-0.32
103a,332.32,0.00
1039,332.24,-0.08
1035,331.92,-0.40
103b,332.40,0.08
1039,332.24,-0.08
103a,332.32,0.00
1037,332.08,-0.24
1037,332.08,-0.24
103a,332.32,0.00
103d,332.56,0.24
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
1038,332.16,-0.16
1037,332.08,-0.24
103d,332.56,0.24
1039,332.24,-0.08
1037,332.08,-0.24
1038,332.16,-0.16
103c,332.48,0.16
1037,332.08,-0.24
1039,332.24,-0.08
1038,332.16,-0.16
1037,332.08,-0.24
1038,332.16,-0.16
103a,332.32,0.00
103b,332.40,0.08
1036,332.00,-0.32
103a,332.32,0.00
103b,332.40,0.08
103a,332.32,0.00
1038,332.16,-0.16
103e,332.64,0.32
1037,332.08,-0.24
1035,331.92,-0.40
103a,332.32,0.00
1039,332.24,-0.08
103b,332.40,0.08
1037,332.08,-0.24
1038,332.16,-0.16
103a,332.32,0.00
1038,332.16,-0.16
103e,332.64,0.32
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
103b,332.40,0.08
1037,332.08,-0.24
1038,332.16,-0.16
1037,332.08,-0.24
1038,332.16,-0.16
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
103b,332.40,0.08
1038,332.16,-0.16
103b,332.40,0.08
1039,332.24,-0.08
103a,332.32,0.00
103b,332.40,0.08
1036,332.00,-0.32
1039,332.24,-0.08
103d,332.56,0.24
1038,332.16,-0.16
103b,332.40,0.08
103c,332.48,0.16
103b,332.40,0.08
1038,332.16,-0.16
1035,331.92,-0.40
1039,332.24,-0.08
103d,332.56,0.24
103b,332.40,0.08
103a,332.32,0.00
1039,332.24,-0.08
1036,332.00,-0.32
103a,332.32,0.00
103c,332.48,0.16
1039,332.24,-0.08
103c,332.48,0.16
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
103b,332.40,0.08
1039,332.24,-0.08
1038,332.16,-0.16
1038,332.16,-0.16
1040,332.80,0.48
103a,332.32,0.00
103b,332.40,0.08
103a,332.32,0.00
1037,332.08,-0.24
103a,332.32,0.00
103f,332.72,0.40
1038,332.16,-0.16
103d,332.56,0.24
103b,332.40,0.08
1037,332.08,-0.24
103b,332.40,0.08
1037,332.08,-0.24
1038,332.16,-0.16
103b,332.40,0.08
103a,332.32,0.00
1037,332.08,-0.24
1038,332.16,-0.16
1037,332.08,-0.24
103a,332.32,0.00
1035,331.92,-0.40
1038,332.16,-0.16
103a,332.32,0.00
103a,332.32,0.00
1037,332.08,-0.24
103c,332.48,0.16
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
1037,332.08,-0.24
1039,332.24,-0.08
1039,332.24,-0.08
103b,332.40,0.08
1039,332.24,-0.08
1038,332.16,-0.16
1036,332.00,-0.32
103a,332.32,0.00
103b,332.40,0.08
103a,332.32,0.00
103a,332.32,0.00
1037,332.08,-0.24
103b,332.40,0.08
103a,332.32,0.00
103b,332.40,0.08
1039,332.24,-0.08
1038,332.16,-0.16
103d,332.56,0.24
103a,332.32,0.00
1035,331.92,-0.40
103a,332.32,0.00
1038,332.16,-0.16
1038,332.16,-0.16
103a,332.32,0.00
1036,332.00,-0.32
1038,332.16,-0.16
103b,332.40,0.08
1038,332.16,-0.16
103b,332.40,0.08
1038,332.16,-0.16
1034,331.84,-0.48
1039,332.24,-0.08
103b,332.40,0.08
1038,332.16,-0.16
103b,332.40,0.08
1039,332.24,-0.08
103a,332.32,0.00
1036,332.00,-0.32
1038,332.16,-0.16
1038,332.16,-0.16
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
1039,332.24,-0.08
103d,332.56,0.24
103a,332.32,0.00
1039,332.24,-0.08
103b,332.40,0.08
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
1038,332.16,-0.16
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
1037,332.08,-0.24
1038,332.16,-0.16
1037,332.08,-0.24
103b,332.40,0.08
103a,332.32,0.00
1038,332.16,-0.16
103b,332.40,0.08
103b,332.40,0.08
1036,332.00,-0.32
103c,332.48,0.16
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
103b,332.40,0.08
103c,332.48,0.16
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
103b,332.40,0.08
1036,332.00,-0.32
1039,332.24,-0.08
103a,332.32,0.00
103a,332.32,0.00
1035,331.92,-0.40
1038,332.16,-0.16
1038,332.16,-0.16
1038,332.16,-0.16
103a,332.32,0.00
1038,332.16,-0.16
103e,332.64,0.32
1036,332.00,-0.32
103b,332.40,0.08
103c,332.48,0.16
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
1037,332.08,-0.24
1036,332.00,-0.32
103b,332.40,0.08
103d,332.56,0.24
103b,332.40,0.08
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1037,332.08,-0.24
1036,332.00,-0.32
103a,332.32,0.00
103b,332.40,0.08
1038,332.16,-0.16
1039,332.24,-0.08
103a,332.32,0.00
1037,332.08,-0.24
1037,332.08,-0.24
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
103a,332.32,0.00
1036,332.00,-0.32
1037,332.08,-0.24
103c,332.48,0.16
1038,332.16,-0.16
1034,331.84,-0.48
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1037,332.08,-0.24
103c,332.48,0.16
103a,332.32,0.00
1037,332.08,-0.24
103b,332.40,0.08
1034,331.84,-0.48
103b,332.40,0.08
1038,332.16,-0.16
103a,332.32,0.00
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
1037,332.08,-0.24
1038,332.16,-0.16
1039,332.24,-0.08
1036,332.00,-0.32
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1036,332.00,-0.32
1039,332.24,-0.08
1039,332.24,-0.08
1037,332.08,-0.24
1037,332.08,-0.24
1038,332.16,-0.16
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1038,332.16,-0.16
1038,332.16,-0.16
1037,332.08,-0.24
103a,332.32,0.00
103a,332.32,0.00
103c,332.48,0.16
1035,331.92,-0.40
103b,332.40,0.08
1037,332.08,-0.24
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1035,331.92,-0.40
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
1038,332.16,-0.16
1038,332.16,-0.16
1038,332.16,-0.16
1036,332.00,-0.32
1038,332.16,-0.16
1039,332.24,-0.08
1038,332.16,-0.16
103a,332.32,0.00
103b,332.40,0.08
1034,331.84,-0.48
1038,332.16,-0.16
1039,332.24,-0.08
103a,332.32,0.00
103e,332.64,0.32
1039,332.24,-0.08
1037,332.08,-0.24
103a,332.32,0.00
1037,332.08,-0.24
1037,332.08,-0.24
1036,332.00,-0.32
1037,332.08,-0.24
1038,332.16,-0.16
1039,332.24,-0.08
103a,332.32,0.00
1039,332.24,-0.08
103b,332.40,0.08
103a,332.32,0.00
1037,332.08,-0.24
1039,332.24,-0.08
103a,332.32,0.00
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
1038,332.16,-0.16
103a,332.32,0.00
1035,331.92,-0.40
103d,332.56,0.24
1033,331.76,-0.56
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
1039,332.24,-0.08
103b,332.40,0.08
103b,332.40,0.08
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
1037,332.08,-0.24
1036,332.00,-0.32
1039,332.24,-0.08
1037,332.08,-0.24
1037,332.08,-0.24
103a,332.32,0.00
1039,332.24,-0.08
103d,332.56,0.24
1039,332.24,-0.08
103a,332.32,0.00
1036,332.00,-0.32
1035,331.92,-0.40
103a,332.32,0.00
103b,332.40,0.08
103c,332.48,0.16
1039,332.24,-0.08
1035,331.92,-0.40
103b,332.40,0.08
1039,332.24,-0.08
1038,332.16,-0.16
103b,332.40,0.08
103b,332.40,0.08
103a,332.32,0.00
1037,332.08,-0.24
1039,332.24,-0.08
1037,332.08,-0.24
103a,332.32,0.00
1039,332.24,-0.08
103d,332.56,0.24
1037,332.08,-0.24
103a,332.32,0.00
103d,332.56,0.24
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
1038,332.16,-0.16
1038,332.16,-0.16
1039,332.24,-0.08
1037,332.08,-0.24
1038,332.16,-0.16
103d,332.56,0.24
103a,332.32,0.00
1039,332.24,-0.08
1037,332.08,-0.24
1036,332.00,-0.32
1039,332.24,-0.08
103b,332.40,0.08
103a,332.32,0.00
1037,332.08,-0.24
103c,332.48,0.16
103b,332.40,0.08
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
103b,332.40,0.08
103b,332.40,0.08
1039,332.24,-0.08
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
103d,332.56,0.24
1036,332.00,-0.32
1038,332.16,-0.16
1038,332.16,-0.16
103b,332.40,0.08
1039,332.24,-0.08
103a,332.32,0.00
1037,332.08,-0.24
1037,332.08,-0.24
103b,332.40,0.08
1039,332.24,-0.08
103b,332.40,0.08
1038,332.16,-0.16
1039,332.24,-0.08
103d,332.56,0.24
103c,332.48,0.16
1036,332.00,-0.32
1037,332.08,-0.24
1036,332.00,-0.32
1038,332.16,-0.16
1037,332.08,-0.24
1036,332.00,-0.32
103b,332.40,0.08
1039,332.24,-0.08
1037,332.08,-0.24
1037,332.08,-0.24
1039,332.24,-0.08
1039,332.24,-0.08
1036,332.00,-0.32
103d,332.56,0.24
1034,331.84,-0.48
1038,332.16,-0.16
1038,332.16,-0.16
1034,331.84,-0.48
1038,332.16,-0.16
103e,332.64,0.32
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1039,332.24,-0.08
1038,332.16,-0.16
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
103f,332.72,0.40
103a,332.32,0.00
103a,332.32,0.00
1037,332.08,-0.24
103e,332.64,0.32
1036,332.00,-0.32
103a,332.32,0.00
1038,332.16,-0.16
103a,332.32,0.00
103d,332.56,0.24
1035,331.92,-0.40
1035,331.92,-0.40
1039,332.24,-0.08
103a,332.32,0.00
1039,332.24,-0.08
1037,332.08,-0.24
1039,332.24,-0.08
103a,332.32,0.00
103b,332.40,0.08
1035,331.92,-0.40
1039,332.24,-0.08
103b,332.40,0.08
1037,332.08,-0.24
1039,332.24,-0.08
1039,332.24,-0.08
103b,332.40,0.08
1039,332.24,-0.08
1037,332.08,-0.24
1039,332.24,-0.08
1038,332.16,-0.16
1036,332.00,-0.32
1035,331.92,-0.40
1036,332.00,-0.32
1036,332.00,-0.32
1039,332.24,-0.08
1038,332.16,-0.16
1036,332.00,-0.32
1039,332.24,-0.08
1038,332.16,-0.16
103b,332.40,0.08
1037,332.08,-0.24
1037,332.08,-0.24
103c,332.48,0.16
103a,332.32,0.00
103c,332.48,0.16
1038,332.16,-0.16
1037,332.08,-0.24
103a,332.32,0.00
103a,332.32,0.00
103e,332.64,0.32
1036,332.00,-0.32
1039,332.24,-0.08
103b,332.40,0.08
1036,332.00,-0.32
1038,332.16,-0.16
1036,332.00,-0.32
1036,332.00,-0.32
103c,332.48,0.16
1038,332.16,-0.16
103a,332.32,0.00
1039,332.24,-0.08
103c,332.48,0.16
1037,332.08,-0.24
103c,332.48,0.16
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
103d,332.56,0.24
1039,332.24,-0.08
1038,332.16,-0.16
1035,331.92,-0.40
1037,332.08,-0.24
1038,332.16,-0.16
1037,332.08,-0.24
103c,332.48,0.16
1037,332.08,-0.24
1037,332.08,-0.24
1037,332.08,-0.24
1039,332.24,-0.08
103d,332.56,0.24
1039,332.24,-0.08
1035,331.92,-0.40
103b,332.40,0.08
103c,332.48,0.16
103a,332.32,0.00
1037,332.08,-0.24
1037,332.08,-0.24
1037,332.08,-0.24
1039,332.24,-0.08
1038,332.16,-0.16
1037,332.08,-0.24
103a,332.32,0.00
103d,332.56,0.24
103a,332.32,0.00
103a,332.32,0.00
1039,332.24,-0.08
1036,332.00,-0.32
103c,332.48,0.16
103a,332.32,0.00
1035,331.92,-0.40
1039,332.24,-0.08
103a,332.32,0.00
1034,331.84,-0.48
1036,332.00,-0.32
103d,332.56,0.24
103a,332.32,0.00
103e,332.64,0.32
1039,332.24,-0.08
1038,332.16,-0.16
103a,332.32,0.00
1038,332.16,-0.16
103b,332.40,0.08
1038,332.16,-0.16
1034,331.84,-0.48
103b,332.40,0.08
1038,332.16,-0.16
1035,331.92,-0.40
1038,332.16,-0.16
1038,332.16,-0.16
1038,332.16,-0.16
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1037,332.08,-0.24
1039,332.24,-0.08
103c,332.48,0.16
103a,332.32,0.00
1034,331.84,-0.48
103a,332.32,0.00
1038,332.16,-0.16
103b,332.40,0.08
1037,332.08,-0.24
1038,332.16,-0.16
103a,332.32,0.00
103b,332.40,0.08
1036,332.00,-0.32
1038,332.16,-0.16
1039,332.24,-0.08
103d,332.56,0.24
103c,332.48,0.16
1035,331.92,-0.40
103c,332.48,0.16
1038,332.16,-0.16
103a,332.32,0.00
103b,332.40,0.08
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
1038,332.16,-0.16
103b,332.40,0.08
1037,332.08,-0.24
1039,332.24,-0.08
103a,332.32,0.00
1036,332.00,-0.32
1036,332.00,-0.32
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
1036,332.00,-0.32
1037,332.08,-0.24
1039,332.24,-0.08
103d,332.56,0.24
103b,332.40,0.08
1038,332.16,-0.16
103a,332.32,0.00
103c,332.48,0.16
1037,332.08,-0.24
1037,332.08,-0.24
103b,332.40,0.08
1036,332.00,-0.32
103a,332.32,0.00
1037,332.08,-0.24
1037,332.08,-0.24
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
103c,332.48,0.16
1039,332.24,-0.08
1039,332.24,-0.08
1037,332.08,-0.24
103a,332.32,0.00
103d,332.56,0.24
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
1038,332.16,-0.16
103d,332.56,0.24
1039,332.24,-0.08
1038,332.16,-0.16
103a,332.32,0.00
103b,332.40,0.08
1036,332.00,-0.32
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
103c,332.48,0.16
1038,332.16,-0.16
1039,332.24,-0.08
103a,332.32,0.00
103b,332.40,0.08
1038,332.16,-0.16
1035,331.92,-0.40
103d,332.56,0.24
1038,332.16,-0.16
103a,332.32,0.00
103a,332.32,0.00
1039,332.24,-0.08
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
1038,332.16,-0.16
1038,332.16,-0.16
1037,332.08,-0.24
1037,332.08,-0.24
103c,332.48,0.16
1039,332.24,-0.08
1036,332.00,-0.32
1039,332.24,-0.08
103b,332.40,0.08
1038,332.16,-0.16
103c,332.48,0.16
103c,332.48,0.16
103b,332.40,0.08
1038,332.16,-0.16
1039,332.24,-0.08
1039,332.24,-0.08
1037,332.08,-0.24
103b,332.40,0.08
1036,332.00,-0.32
103b,332.40,0.08
1037,332.08,-0.24
1037,332.08,-0.24
103d,332.56,0.24
1038,332.16,-0.16
103b,332.40,0.08
1035,331.92,-0.40
1039,332.24,-0.08
1039,332.24,-0.08
1036,332.00,-0.32
103d,332.56,0.24
1039,332.24,-0.08
1036,332.00,-0.32
1038,332.16,-0.16
1037,332.08,-0.24
1038,332.16,-0.16
1036,332.00,-0.32
103b,332.40,0.08
1038,332.16,-0.16
1038,332.16,-0.16
1038,332.16,-0.16
1037,332.08,-0.24
103a,332.32,0.00
103c,332.48,0.16
1036,332.00,-0.32
1039,332.24,-0.08
1038,332.16,-0.16
1035,331.92,-0.40
1037,332.08,-0.24
1036,332.00,-0.32
103a,332.32,0.00
1037,332.08,-0.24
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
1038,332.16,-0.16
1037,332.08,-0.24
103c,332.48,0.16
1037,332.08,-0.24
1037,332.08,-0.24
103a,332.32,0.00
1039,332.24,-0.08
103a,332.32,0.00
103a,332.32,0.00
1037,332.08,-0.24
103a,332.32,0.00
103d,332.56,0.24
1036,332.00,-0.32
103f,332.72,0.40
103d,332.56,0.24
103a,332.32,0.00
1038,332.16,-0.16
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
1037,332.08,-0.24
1036,332.00,-0.32
1039,332.24,-0.08
103a,332.32,0.00
103c,332.48,0.16
103a,332.32,0.00
1038,332.16,-0.16
1039,332.24,-0.08
1037,332.08,-0.24
1039,332.24,-0.08
103b,332.40,0.08
103b,332.40,0.08
103b,332.40,0.08
1039,332.24,-0.08
103a,332.32,0.00
1038,332.16,-0.16
103c,332.48,0.16
103a,332.32,0.00
1039,332.24,-0.08
103a,332.32,0.00
103b,332.40,0.08
1037,332.08,-0.24
103a,332.32,0.00
1036,332.00,-0.32
103a,332.32,0.00
1037,332.08,-0.24
103b,332.40,0.08
103a,332.32,0.00
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
103a,332.32,0.00
103b,332.40,0.08
1036,332.00,-0.32
103b,332.40,0.08
1039,332.24,-0.08
1037,332.08,-0.24
103a,332.32,0.00
103b,332.40,0.08
103a,332.32,0.00
103d,332.56,0.24
103b,332.40,0.08
103a,332.32,0.00
103d,332.56,0.24
103a,332.32,0.00
1039,332.24,-0.08
1039,332.24,-0.08
103c,332.48,0.16
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
103a,332.32,0.00
1039,332.24,-0.08
1038,332.16,-0.16
1039,332.24,-0.08
103b,332.40,0.08
1038,332.16,-0.16
1036,332.00,-0.32
1035,331.92,-0.40
1038,332.16,-0.16
1038,332.16,-0.16
1037,332.08,-0.24
103b,332.40,0.08
1036,332.00,-0.32
103b,332.40,0.08
1038,332.16,-0.16
103a,332.32,0.00
1037,332.08,-0.24
1038,332.16,-0.16
103a,332.32,0.00
1036,332.00,-0.32
1039,332.24,-0.08
1038,332.16,-0.16
1038,332.16,-0.16
103c,332.48,0.16
1038,332.16,-0.16
103a,332.32,0.00
1039,332.24,-0.08
1037,332.08,-0.24
1039,332.24,-0.08
103b,332.40,0.08
1036,332.00,-0.32
1036,332.00,-0.32
1038,332.16,-0.16
1037,332.08,-0.24
1039,332.24,-0.08
103b,332.40,0.08
